ID,segmento
5524,fieis
2174,promissores
4141,fieis
6182,potenciais_fieis
5324,em_risco
7446,campeoes
965,fieis
6177,potenciais_fieis
4855,novos_consumidores
5899,hibernando
1994,novos_consumidores
387,prestes_a_dormir
2125,em_risco
8180,precisam_atencao
2569,promissores
2114,fieis
9736,prestes_a_dormir
4939,potenciais_fieis
6565,n_podem_perder
2278,hibernando
9360,precisam_atencao
5376,fieis
1993,em_risco
4047,campeoes
1409,em_risco
7892,hibernando
2404,potenciais_fieis
5255,campeoes
9422,potenciais_fieis
1966,n_podem_perder
6864,potenciais_fieis
3033,precisam_atencao
5710,potenciais_fieis
7373,potenciais_fieis
8755,campeoes
10738,prestes_a_dormir
4339,fieis
10755,hibernando
8595,hibernando
2968,fieis
8601,campeoes
503,hibernando
8430,novos_consumidores
7281,hibernando
2139,novos_consumidores
1371,em_risco
9909,potenciais_fieis
7286,hibernando
7244,hibernando
6566,fieis
8614,fieis
4114,campeoes
1331,prestes_a_dormir
2225,fieis
9381,fieis
6260,fieis
10383,fieis
7437,promissores
8557,prestes_a_dormir
8375,em_risco
6853,campeoes
3076,campeoes
1012,fieis
6518,campeoes
4137,potenciais_fieis
8082,hibernando
1386,novos_consumidores
9369,campeoes
4477,campeoes
1357,em_risco
1402,campeoes
10629,potenciais_fieis
6312,fieis
8132,em_risco
1050,prestes_a_dormir
5846,hibernando
1859,fieis
7503,fieis
10401,novos_consumidores
1618,campeoes
3332,hibernando
2261,novos_consumidores
5346,hibernando
4119,precisam_atencao
535,campeoes
5268,hibernando
273,prestes_a_dormir
4452,potenciais_fieis
8504,em_risco
771,hibernando
8996,campeoes
9235,prestes_a_dormir
5798,em_risco
11178,hibernando
2230,hibernando
7516,promissores
7247,em_risco
11100,promissores
4646,fieis
3037,potenciais_fieis
1473,novos_consumidores
1016,prestes_a_dormir
4518,fieis
9370,em_risco
8908,fieis
8373,hibernando
7533,potenciais_fieis
2683,fieis
3629,potenciais_fieis
10991,potenciais_fieis
5077,fieis
7431,fieis
3267,fieis
999,n_podem_perder
9215,campeoes
2286,potenciais_fieis
1592,potenciais_fieis
367,em_risco
5234,hibernando
9862,promissores
9805,em_risco
6205,potenciais_fieis
8442,hibernando
7386,hibernando
7215,n_podem_perder
1491,em_risco
11071,potenciais_fieis
3381,prestes_a_dormir
8268,potenciais_fieis
11051,em_risco
8026,potenciais_fieis
433,fieis
9597,campeoes
1295,em_risco
5290,precisam_atencao
1685,fieis
5342,promissores
9579,hibernando
7660,promissores
1461,hibernando
821,fieis
11084,potenciais_fieis
8690,n_podem_perder
2937,fieis
9701,potenciais_fieis
9949,potenciais_fieis
10837,prestes_a_dormir
3120,prestes_a_dormir
5885,hibernando
4050,hibernando
3830,precisam_atencao
7987,em_risco
7798,potenciais_fieis
92,potenciais_fieis
7055,fieis
10240,campeoes
3025,potenciais_fieis
9283,prestes_a_dormir
9970,potenciais_fieis
2730,em_risco
2795,novos_consumidores
9260,fieis
8182,hibernando
10095,campeoes
8475,n_podem_perder
4370,hibernando
10573,fieis
3712,em_risco
6637,precisam_atencao
3152,hibernando
5610,prestes_a_dormir
6460,hibernando
1349,potenciais_fieis
1880,potenciais_fieis
641,hibernando
8717,fieis
10314,n_podem_perder
10854,hibernando
10492,hibernando
6935,fieis
7698,hibernando
3559,hibernando
10562,fieis
10796,novos_consumidores
2563,hibernando
3518,prestes_a_dormir
5823,hibernando
3934,fieis
6982,campeoes
6431,novos_consumidores
9733,prestes_a_dormir
5602,n_podem_perder
7829,hibernando
1324,hibernando
326,potenciais_fieis
7224,promissores
6999,n_podem_perder
9938,em_risco
6422,fieis
3182,hibernando
7300,fieis
10424,em_risco
8727,n_podem_perder
2798,fieis
1030,hibernando
624,novos_consumidores
5176,hibernando
5552,precisam_atencao
868,hibernando
380,campeoes
2677,potenciais_fieis
6521,campeoes
6927,em_risco
2877,fieis
0,em_risco
1584,em_risco
7264,novos_consumidores
6274,n_podem_perder
1377,potenciais_fieis
454,fieis
1755,hibernando
2075,precisam_atencao
4785,campeoes
9076,prestes_a_dormir
7079,fieis
4653,prestes_a_dormir
7375,em_risco
709,potenciais_fieis
460,em_risco
3726,hibernando
6798,potenciais_fieis
5341,potenciais_fieis
1606,hibernando
9617,promissores
3233,n_podem_perder
89,prestes_a_dormir
2936,prestes_a_dormir
9449,fieis
7297,prestes_a_dormir
11004,promissores
313,n_podem_perder
9940,em_risco
10735,hibernando
9529,campeoes
6439,fieis
7411,promissores
2176,precisam_atencao
9265,em_risco
8867,em_risco
8932,fieis
10236,prestes_a_dormir
6340,prestes_a_dormir
10089,campeoes
2227,hibernando
10992,n_podem_perder
5304,promissores
309,fieis
3406,em_risco
2661,hibernando
3153,promissores
10264,hibernando
1184,fieis
4200,em_risco
9396,promissores
2387,potenciais_fieis
6690,potenciais_fieis
1225,fieis
9703,hibernando
291,potenciais_fieis
4557,potenciais_fieis
2379,potenciais_fieis
5726,potenciais_fieis
3066,potenciais_fieis
6336,prestes_a_dormir
10967,potenciais_fieis
2304,n_podem_perder
3445,fieis
7828,potenciais_fieis
3762,fieis
4391,n_podem_perder
4669,prestes_a_dormir
10144,em_risco
8652,potenciais_fieis
1672,em_risco
8962,novos_consumidores
9974,hibernando
10983,campeoes
8148,em_risco
10102,campeoes
4697,em_risco
9262,novos_consumidores
7254,hibernando
4543,fieis
4927,hibernando
10451,novos_consumidores
2926,em_risco
2874,promissores
9738,prestes_a_dormir
7119,precisam_atencao
3924,fieis
5827,prestes_a_dormir
5596,fieis
10812,hibernando
1717,precisam_atencao
9491,hibernando
9274,fieis
6609,hibernando
6963,em_risco
4440,em_risco
1379,potenciais_fieis
10032,hibernando
2826,promissores
2437,n_podem_perder
6320,fieis
3050,potenciais_fieis
231,hibernando
2392,prestes_a_dormir
9478,potenciais_fieis
113,promissores
2863,em_risco
1802,fieis
520,hibernando
8275,novos_consumidores
9750,fieis
2607,em_risco
7214,fieis
5835,potenciais_fieis
3896,novos_consumidores
10350,promissores
7786,potenciais_fieis
2861,hibernando
663,prestes_a_dormir
10675,em_risco
2521,novos_consumidores
9592,prestes_a_dormir
10151,fieis
7381,campeoes
4099,novos_consumidores
9560,campeoes
1150,potenciais_fieis
10172,em_risco
11191,potenciais_fieis
9707,em_risco
6245,em_risco
8234,novos_consumidores
1411,precisam_atencao
8553,hibernando
1826,potenciais_fieis
8842,promissores
11030,hibernando
2579,n_podem_perder
175,em_risco
9185,potenciais_fieis
11056,campeoes
9365,fieis
6201,prestes_a_dormir
2061,hibernando
6184,potenciais_fieis
6142,em_risco
4107,precisam_atencao
7274,n_podem_perder
9336,fieis
2958,prestes_a_dormir
933,promissores
5837,em_risco
10704,em_risco
5125,n_podem_perder
4432,hibernando
5955,potenciais_fieis
2928,em_risco
5680,hibernando
10313,em_risco
2557,prestes_a_dormir
1245,fieis
1519,potenciais_fieis
10703,hibernando
1726,promissores
4459,novos_consumidores
1729,campeoes
1517,hibernando
2098,promissores
9543,hibernando
6878,potenciais_fieis
3310,hibernando
2724,promissores
948,promissores
6720,potenciais_fieis
6202,n_podem_perder
2066,prestes_a_dormir
9799,fieis
8318,campeoes
5642,potenciais_fieis
2669,em_risco
455,hibernando
7683,em_risco
3428,fieis
7414,potenciais_fieis
6354,prestes_a_dormir
798,hibernando
8213,hibernando
2488,hibernando
9999,campeoes
7617,hibernando
615,potenciais_fieis
2552,potenciais_fieis
194,prestes_a_dormir
3645,potenciais_fieis
8890,potenciais_fieis
5049,novos_consumidores
9973,fieis
7301,hibernando
10882,precisam_atencao
7030,campeoes
7422,em_risco
3523,em_risco
7106,em_risco
6504,potenciais_fieis
5067,campeoes
4216,fieis
8581,campeoes
5929,novos_consumidores
3129,promissores
6528,hibernando
1361,potenciais_fieis
6932,n_podem_perder
7284,novos_consumidores
1340,fieis
8746,fieis
5987,prestes_a_dormir
3767,campeoes
3725,potenciais_fieis
4324,fieis
238,n_podem_perder
6694,fieis
498,promissores
9347,prestes_a_dormir
9699,campeoes
10664,potenciais_fieis
5455,hibernando
456,hibernando
5012,prestes_a_dormir
7495,hibernando
5029,novos_consumidores
10642,novos_consumidores
2106,hibernando
10364,hibernando
5954,hibernando
1137,em_risco
2541,novos_consumidores
1142,em_risco
2276,n_podem_perder
2807,fieis
6471,potenciais_fieis
6131,em_risco
6233,fieis
4148,em_risco
4947,fieis
3225,em_risco
7540,precisam_atencao
10648,em_risco
1992,potenciais_fieis
7851,n_podem_perder
8594,potenciais_fieis
7059,fieis
2815,prestes_a_dormir
2416,em_risco
7999,campeoes
9213,novos_consumidores
9697,em_risco
3916,n_podem_perder
2021,fieis
1581,novos_consumidores
564,n_podem_perder
6619,hibernando
9081,prestes_a_dormir
178,fieis
916,hibernando
5512,campeoes
8970,em_risco
10581,precisam_atencao
5300,hibernando
5154,prestes_a_dormir
8346,potenciais_fieis
1676,potenciais_fieis
9286,em_risco
2426,fieis
5172,potenciais_fieis
5562,em_risco
3436,promissores
3921,hibernando
3403,campeoes
22,em_risco
10965,n_podem_perder
9426,em_risco
6605,em_risco
3136,em_risco
8737,promissores
11088,em_risco
716,n_podem_perder
466,campeoes
9135,hibernando
10623,novos_consumidores
8151,potenciais_fieis
5140,em_risco
10160,prestes_a_dormir
4945,fieis
10584,n_podem_perder
6071,n_podem_perder
3386,hibernando
8939,fieis
9925,hibernando
4320,campeoes
5389,em_risco
6036,em_risco
182,em_risco
203,fieis
11025,potenciais_fieis
10203,hibernando
4607,fieis
3711,campeoes
3696,hibernando
2532,em_risco
9214,precisam_atencao
4943,em_risco
35,potenciais_fieis
2258,hibernando
4322,fieis
713,em_risco
4702,fieis
3281,em_risco
702,em_risco
2004,em_risco
4769,fieis
4437,em_risco
8724,prestes_a_dormir
10741,em_risco
1991,potenciais_fieis
6931,potenciais_fieis
11096,precisam_atencao
304,hibernando
3665,prestes_a_dormir
10591,potenciais_fieis
5036,potenciais_fieis
5547,campeoes
7822,fieis
8541,hibernando
10955,em_risco
4368,hibernando
9671,prestes_a_dormir
2256,promissores
4279,hibernando
5371,potenciais_fieis
9240,em_risco
9460,hibernando
9504,campeoes
8692,precisam_atencao
448,fieis
8314,fieis
8420,potenciais_fieis
3174,em_risco
7685,potenciais_fieis
3179,em_risco
9780,campeoes
10681,campeoes
10232,potenciais_fieis
4184,precisam_atencao
9120,em_risco
891,hibernando
10381,prestes_a_dormir
3525,novos_consumidores
6818,potenciais_fieis
3526,prestes_a_dormir
8181,prestes_a_dormir
1029,potenciais_fieis
7369,prestes_a_dormir
2574,fieis
8159,potenciais_fieis
1160,prestes_a_dormir
10242,potenciais_fieis
5253,em_risco
5966,em_risco
5314,em_risco
5081,prestes_a_dormir
5123,prestes_a_dormir
5756,hibernando
8036,potenciais_fieis
9058,n_podem_perder
5057,em_risco
254,potenciais_fieis
4179,hibernando
3710,prestes_a_dormir
7627,fieis
4501,em_risco
6424,novos_consumidores
3075,precisam_atencao
4992,potenciais_fieis
5252,hibernando
7444,promissores
6919,potenciais_fieis
3537,prestes_a_dormir
10277,promissores
2453,em_risco
7972,em_risco
895,em_risco
1177,hibernando
7141,potenciais_fieis
7232,hibernando
8477,hibernando
2457,promissores
988,em_risco
7930,em_risco
4587,em_risco
6682,prestes_a_dormir
6222,promissores
10299,n_podem_perder
3083,em_risco
8953,hibernando
1503,promissores
8650,promissores
10862,potenciais_fieis
2782,potenciais_fieis
6941,hibernando
10972,precisam_atencao
10708,prestes_a_dormir
6583,fieis
3641,hibernando
10156,fieis
4299,fieis
3469,hibernando
5063,hibernando
10727,fieis
9624,precisam_atencao
5156,campeoes
4376,potenciais_fieis
8923,campeoes
8461,novos_consumidores
6945,n_podem_perder
944,potenciais_fieis
1907,fieis
701,fieis
3856,n_podem_perder
4149,fieis
2131,fieis
2942,potenciais_fieis
1173,em_risco
4381,precisam_atencao
4611,fieis
3376,potenciais_fieis
4679,fieis
10928,potenciais_fieis
4248,fieis
6728,promissores
6661,n_podem_perder
4725,hibernando
3277,potenciais_fieis
2564,hibernando
946,hibernando
3867,fieis
6940,hibernando
55,em_risco
7093,hibernando
5084,n_podem_perder
1777,promissores
8162,hibernando
10826,hibernando
8754,promissores
1987,promissores
11007,prestes_a_dormir
7426,hibernando
9153,n_podem_perder
10379,em_risco
9204,potenciais_fieis
3197,fieis
2920,em_risco
6961,promissores
4673,campeoes
9937,em_risco
8779,potenciais_fieis
9596,campeoes
2891,fieis
4910,n_podem_perder
75,potenciais_fieis
10120,em_risco
6327,em_risco
10142,em_risco
9826,n_podem_perder
1501,fieis
10767,fieis
7279,potenciais_fieis
7230,em_risco
143,em_risco
450,hibernando
9316,promissores
6379,potenciais_fieis
9239,hibernando
8315,hibernando
2868,promissores
10888,fieis
1277,fieis
9977,em_risco
10196,fieis
6384,fieis
8029,potenciais_fieis
968,potenciais_fieis
